"lang"
{
  "Language"    "tchinese"
    "TTT_TIP3"                        "探長能在屍體查出誰是「死者最後看見的人」。若是遭到背後攻擊，最後看見的將不會是兇手。"
    "TTT_TIP4"                        "被您的屍體被發現並確認之前，沒人知道您已經死亡。"
    "TTT_TIP5"                        "叛徒殺死探長時，會立即得到一點的信用點數。"
    "TTT_TIP6"                        "一名叛徒死後，所以探長將得到一點的信用點數作為獎勵。"
    "TTT_TIP7"                        "叛徒殺害無辜者，有了絕好進展時，所有叛徒將獲得一點的信用點數作為獎勵。"
    "TTT_TIP8"                        "叛徒和探長能從夥伴屍體上，取得未被消耗的信用點數。"
    "TTT_TIP10"                       "叛徒與探長應保持注意螢幕右上方的紅色訊息，這對您無比重要。"
    "TTT_TIP11"                       "若叛徒與探長能和同伴配合得好，將擁有額外的信用點數。請將它用在對的地方！"
    "TTT_TIP12"                       "探長的DNA掃描器可使用在武器或道具上，找到曾使用它的玩家的位置。用在屍體或C4上效果將更好！"
    "TTT_TIP13"                       "太靠近您殺害的人的話，DNA將殘留在屍體上，探長的DNA掃描器會以此找到您的正確位置。切記，殺了人最好將屍體藏好！"
    "TTT_TIP14"                       "殺人時離被害者越遠，殘留在屍體上的DNA就會越快衰變！"
    "TTT_TIP15"                       "您是叛徒而且想進行狙擊？試試偽裝吧！若您狙殺失準，逃到安全的地方，取消偽裝，就沒人知道是您開的槍囉！"
    "TTT_TIP16"                       "作為叛徒，傳送器可幫助您逃脫追蹤，並讓您得以迅速穿過整個地圖。請隨時確保有個安全的傳送標記。"
    "TTT_TIP17"                       "是否遇過無辜者群聚在一起而難以下手？請試試用收音機發出C4嗶嗶聲或交火聲，讓他們分散。"
    "TTT_TIP18"                       "叛徒可以在選單使用已放置的收音機，依序點擊想播放的聲音，就會按順序排列播放。"
    "TTT_TIP19"                       "探長若有多餘的信用點數，可將拆彈器交給一位可信任的無辜者，將危險的C4交給他們，自己全神貫注地調查與處決叛徒。"
    "TTT_TIP20"                       "探長的望遠鏡可讓您遠距離搜索並確認屍體，壞消息是叛徒總是會用誘餌欺騙您。當然，使用望遠鏡的探長全身都是破綻。"
    "TTT_TIP21"                       "探長的醫療站可讓受傷的玩家恢復健康，當然，其中也包括叛徒..."
    "TTT_TIP22"                       "治療站將遺留每位前來治療的人的DNA樣本，探長可將其用在DNA掃描器上，尋找究竟誰曾受過治療。"
    "TTT_TIP23"                       "與武器、C4不同，收音機並不會留下您的DNA樣本，不用擔心探長會在上頭用DNA識破您的身分。"
    "TTT_TIP24"                       "按下 %s 閱讀教學。"
    "TTT_TIP25"                       "探長確認屍體後，相關訊息將在計分板公布，如要查看只需點擊死者之名字即可。."
    "TTT_TIP26"                       "計分板上，人物名字旁的放大鏡圖樣可以查看關於他的訊息，若圖樣亮著，代表是某位探長確認後的結果。"
    "TTT_TIP27"                       "探長調查屍體後的結果將公布在計分板，供所有玩家查看。"
    "TTT_TIP28"                       "觀察者可以按下 %s 循環調整對其他觀察者或遊戲中的玩家靜音。"
    "TTT_TIP29"                       "若伺服器有安裝其他語言，您可以在任何時間開啟F1選單，啟用不同語言。"
    "TTT_TIP30"                       "若要使用語音或無線電，可以按下 %s 使用。"
    "TTT_TIP31"                       "作為觀察者，按下 %s 能使視角固定，可在遊戲內移動游標，也可以點擊提示欄裡的按鈕。此外，再次按下 %s 會解除之，恢復預設視角控制。"
    "TTT_TIP32"                       "使用撬棍時，按下右鍵可推開其他玩家。"
    // "TTT_TIP33"                                       ""
    "TTT_TIP34"                       "煙霧彈於室內相當有效，尤其是在擁擠的房間中製造混亂。"
    "TTT_TIP35"                       "叛徒，請記住您能搬運屍體並將它們藏起來，避開無辜者與探長的耳目。"
    "TTT_TIP36"                       "按下 %s 可以觀看教學，其中包含了重要的遊戲關鍵。"
    "TTT_TIP37"                       "在計分板上，點擊活人玩家的名字，可以選擇一個標記（如令人懷疑的或友好的）記錄這位玩家。此標誌會在您的準心指向該玩家時顯示。"
    "TTT_TIP38"                       "許多需放置的裝備（如C4或收音機），可以使用右鍵將其置於牆上。"
    "TTT_TIP39"                       "拆除C4時失誤導致的爆炸，比起直接引爆時來得小。"
    "TTT_TIP40"                       "若時間上顯示「急速模式」，此回合的時間會很短，但每位玩家的死亡都將延長時間（就像TFC的佔領點模式）。延長時間將迫使叛徒加緊腳步。"
    // "TTT_TIP41"                                   ""
    // "TTT_TIP42"                                   ""
    // "TTT_TIP43"                                   ""
    // "TTT_TIP44"                                   ""
    // "TTT_TIP45"                                   ""
    // "TTT_TIP46"                                   ""
    // "TTT_TIP47"                                   ""
    // "TTT_TIP48"                                   ""
    // "TTT_TIP49"                                   ""
    // Round report
    "TTT_REPORT_TITLE"                "回合報告"
    "TTT_REPORT_TAB_HILITE"           "重頭戲"
    "TTT_REPORT_TAB_HILITE_TIP"       "回合重頭戲"
    "TTT_REPORT_TAB_EVENTS"           "事件"
    "TTT_REPORT_TAB_EVENTS_TIP"       "發生在此回合的指標性事件"
    "TTT_REPORT_TAB_SCORES"           "分數"
    "TTT_REPORT_TAB_SCORES_TIP"       "本回合單一玩家獲得的點數"
    "TTT_REPORT_SAVE"                 "儲存 Log.txt"
    "TTT_REPORT_SAVE_TIP"             "將事件記錄並儲存在txt檔內"
    "TTT_REPORT_SAVE_ERROR"           "沒有可供儲存的事件記錄"
    "TTT_REPORT_SAVE_RESULT"          "事件記錄已存在："
    "TTT_HILITE_WIN_TRAITORS"         "叛徒獲得勝利"
    "TTT_HILITE_WIN_INNOCENT"         "無辜者獲得勝利"
    "TTT_HILITE_PLAYERS1"             " %d 名玩家加入遊戲， %d 名玩家是叛徒"
    "TTT_HILITE_PLAYERS2"             " %d 名玩家加入遊戲，其中一人是叛徒"
    "TTT_HILITE_DURATION"             "回合持續了 %s"
    "TTT_COL_TIME"                    "時間"
    "TTT_COL_EVENT"                   "事件"
    "TTT_COL_PLAYER"                  "玩家"
    "TTT_COL_ROLE"                    "角色"
    "TTT_COL_KILLS1"                  "無辜者殺敵數"
    "TTT_COL_KILLS2"                  "叛徒殺敵數"
    "TTT_COL_POINTS"                  "點數"
    "TTT_COL_TEAM"                    "團隊紅利"
    "TTT_COL_TOTAL"                   "總分"
    "TTT_SOMETHING"                   "某件物品"
    // "TTT_SOMEONE"                                 ""
    // Kill events
    "TTT_EV_BLOWUP"                   "%s 被自己炸飛"
    "TTT_EV_BLOWUP_TRAP"              "%s 被 %s 炸飛"
    "TTT_EV_TELE_SELF"                "%s 被自己給傳送殺了"
    "TTT_EV_SUI"                      "%s 不可取的自殺了！"
    "TTT_EV_SUI_USING"                "%s 用 %s 殺了自己"
    "TTT_EV_FALL"                     "%s 墜落而死"
    "TTT_EV_FALL_PUSHED"              "%s 因為 %s 推下，墜落而死"
    "TTT_EV_FALL_PUSHED_USING"        "%s 被 %s 用 %s 推下，墜落而死"
    "TTT_EV_SHOT"                     "%s 被 %s 射殺"
    "TTT_EV_SHOT_USING"               "%s 被 %s 用 %s 射殺"
    "TTT_EV_DROWN"                    "%s 被 %s 推入水中溺死"
    "TTT_EV_DROWN_USING"              "%s 被 %s 用 %s 推入水中溺死"
    "TTT_EV_BOOM"                     "%s 被 %s 炸死"
    "TTT_EV_BOOM_USING"               "%s 被 %s 用 %s 炸爛"
    "TTT_EV_BURN"                     "%s 被 %s 燒死"
    "TTT_EV_BURN_USING"               "%s 被 %s 用 %s 燒成焦屍"
    "TTT_EV_CLUB"                     "%s 被 %s 打死"
    "TTT_EV_CLUB_USING"               "%s 被 %s 用 %s 打成爛泥"
    "TTT_EV_SLASH"                    "%s 被 %s 砍死"
    "TTT_EV_SLASH_USING"              "%s 被 %s 用 %s 砍成兩半"
    "TTT_EV_TELE"                     "%s 被 %s 傳送殺"
    "TTT_EV_TELE_USING"               "%s 被 %s 用 %s 傳送時之能量分裂成原子"
    "TTT_EV_GOOMBA"                   "%s 被 %s 用巨大物體壓爛"
    "TTT_EV_CRUSH"                    "%s 被 %s 壓爛"
    "TTT_EV_CRUSH_USING"              "%s 被 %s 用 %s 壓碎"
    "TTT_EV_OTHER"                    "%s 被 %s 殺死"
    "TTT_EV_OTHER_USING"              "%s 被 %s 用 %s 殺死"
    // Other events
    "TTT_EV_BODY"                     "%s 發現了 %s 的屍體"
    "TTT_EV_C4_PLANT"                 "%s  安裝了C4"
    "TTT_EV_C4_BOOM"                  "%s 安裝的C4爆炸了"
    "TTT_EV_C4_DISARM1"               "%s 拆除了 %s 安裝的C4"
    "TTT_EV_C4_DISARM2"               "%s 因拆除失誤而引爆了 %s 安裝的C4"
    // "TTT_C4_HELP_PRI"                             ""
    // "TTT_C4_HELP_SEC"                             ""
    "TTT_EV_CREDIT"                   "%s 在 %s 的屍體上找到 %d 點的信用點數"
    "TTT_EV_START"                    "回合開始"
    "TTT_EV_WIN_TRAITOR"              "卑鄙的叛徒贏了這回合！"
    "TTT_EV_WIN_INNO"                 "無辜的恐怖分子贏了這回合！"
    "TTT_EV_WIN_TIME"                 "叛徒因為超過時間而輸了這回合！"
    // Awards/highlights
    "TTT_AW_SUI1_TITLE"               "自殺邪教的教主"
    "TTT_AW_SUI1_TEXT"                "率先向其他自殺者展示如何自殺。"
    "TTT_AW_SUI2_TITLE"               "孤獨沮喪者"
    "TTT_AW_SUI2_TEXT"                "就他一人自殺，無比哀戚。"
    "TTT_AW_EXP1_TITLE"               "炸彈研究的第一把交椅"
    "TTT_AW_EXP1_TEXT"                "決心研究C4， %d 名受試者證明了他的學說。"
    "TTT_AW_EXP2_TITLE"               "田野研究"
    "TTT_AW_EXP2_TEXT"                "測試自己的抗暴性，顯然完全不夠高。"
    "TTT_AW_FST1_TITLE"               "第一滴血"
    "TTT_AW_FST1_TEXT"                "將第一位無辜者的生命送到叛徒手上。"
    "TTT_AW_FST2_TITLE"               "愚蠢的血腥首殺"
    "TTT_AW_FST2_TEXT"                "擊殺一名叛徒同伴而得到首殺，做得好啊！"
    "TTT_AW_FST3_TITLE"               "首殺大挫折"
    "TTT_AW_FST3_TEXT"                "第一殺便將無辜者同伴誤認為叛徒，真是挫折啊！"
    "TTT_AW_FST4_TITLE"               "吹響號角"
    "TTT_AW_FST4_TEXT"                "殺害一名叛徒，為無辜者陣營吹響了號角。"
    "TTT_AW_ALL1_TITLE"               "致命的平等"
    "TTT_AW_ALL1_TEXT"                "得為所有人的死負責的無辜者。"
    "TTT_AW_ALL2_TITLE"               "孤獨之狼"
    "TTT_AW_ALL2_TEXT"                "得為所有人的死負責的叛徒。"
    "TTT_AW_NKT1_TITLE"               "老大！我抓到一個！"
    "TTT_AW_NKT1_TEXT"                "在一名無辜者落單時策劃一場謀殺，漂亮！"
    "TTT_AW_NKT2_TITLE"               "一石二鳥"
    "TTT_AW_NKT2_TEXT"                "用另一具屍體證明上一槍不是巧合。"
    "TTT_AW_NKT3_TITLE"               "連續殺人魔"
    "TTT_AW_NKT3_TEXT"                "在今天結束了三名無辜者的生命。"
    "TTT_AW_NKT4_TITLE"               "穿梭在批著羊皮的狼之間的狼"
    "TTT_AW_NKT4_TEXT"                "將無辜者們作為晚餐吃了。共吃了 %d 人。"
    "TTT_AW_NKT5_TITLE"               "反恐特工"
    "TTT_AW_NKT5_TEXT"                "每一殺都能拿到報酬，現在他已經買得起豪華遊艇了！"
    "TTT_AW_NKI1_TITLE"               "背叛死亡吧！"
    "TTT_AW_NKI1_TEXT"                "找出叛徒，將子彈送到他腦袋，簡單吧！"
    "TTT_AW_NKI2_TITLE"               "申請進入正義連隊"
    "TTT_AW_NKI2_TEXT"                "成功將兩名叛徒送下地獄。"
    "TTT_AW_NKI3_TITLE"               "叛徒夢到過叛徒羊嗎？"
    "TTT_AW_NKI3_TEXT"                "讓三名叛徒得到平靜。"
    "TTT_AW_NKI4_TITLE"               "復仇者聯盟"
    "TTT_AW_NKI4_TEXT"                "每一殺都能拿到報酬。您已經夠格加入復仇者聯盟了！"
    "TTT_AW_FAL1_TITLE"               "不，龐德先生，我希望您跳下去"
    "TTT_AW_FAL1_TEXT"                "將某人推下足以致死的高度。"
    "TTT_AW_FAL2_TITLE"               "地板人"
    "TTT_AW_FAL2_TEXT"                "讓自己的身體從極端無盡的高度上落地。"
    "TTT_AW_FAL3_TITLE"               "人體流星"
    "TTT_AW_FAL3_TEXT"                "讓一名玩家從高處落下，摔成爛泥。"
    "TTT_AW_HED1_TITLE"               "高效能"
    "TTT_AW_HED1_TEXT"                "發現爆頭的樂趣，並擊殺了 %d 名敵人。"
    "TTT_AW_HED2_TITLE"               "神經內科"
    "TTT_AW_HED2_TEXT"                "近距離將 %d 名玩家的腦袋取出，完成腦神經研究。"
    "TTT_AW_HED3_TITLE"               "是遊戲使我這麼做的"
    "TTT_AW_HED3_TEXT"                "運用殺人模擬訓練的技巧，爆了 %d 顆頭"
    "TTT_AW_CBR1_TITLE"               "鏗鏗鏗"
    "TTT_AW_CBR1_TEXT"                "擁有相當規律的鐵撬舞動， %d 名受害者能證明這點。"
    "TTT_AW_CBR2_TITLE"               "高登•弗里曼"
    "TTT_AW_CBR2_TEXT"                "離開黑山，用喜愛的撬棍殺了至少 %d 名玩家。"
    "TTT_AW_PST1_TITLE"               "死亡之握"
    "TTT_AW_PST1_TEXT"                "用手槍殺死 %d 名玩家前，都上前握了手。"
    "TTT_AW_PST2_TITLE"               "小口徑屠殺"
    "TTT_AW_PST2_TEXT"                "用手槍殺了 %d 人的小隊。我們推測他槍管裡頭有個微型散彈槍。"
    "TTT_AW_SGN1_TITLE"               "簡單模式"
    "TTT_AW_SGN1_TEXT"                "用散彈槍近距離殺了 %d 名玩家。"
    "TTT_AW_SGN2_TITLE"               "一千個小子彈"
    "TTT_AW_SGN2_TEXT"                "不喜歡自己的散彈，打算送人。但已有 %d 名受贈人無法享受禮物了。"
    "TTT_AW_RFL1_TITLE"               "瞄準，射擊！"
    "TTT_AW_RFL1_TEXT"                "穩定的手上，那把狙擊槍奪去了 %d 名玩家的生命。"
    "TTT_AW_RFL2_TITLE"               "我在這就看到您的頭了啦！"
    "TTT_AW_RFL2_TEXT"                "十分瞭解他的狙擊槍，其他 %d 名玩家隨即也瞭解了他的狙擊槍。"
    "TTT_AW_DGL1_TITLE"               "這簡直像是小型狙擊槍"
    "TTT_AW_DGL1_TEXT"                "「沙鷹在手，天下我有！」，用沙漠之鷹殺了 %d 名玩家。"
    "TTT_AW_DGL2_TITLE"               "老鷹大師"
    "TTT_AW_DGL2_TEXT"                "用他手中的沙漠之鷹殺了 %d 名玩家。"
    "TTT_AW_MAC1_TITLE"               "祈禱，然後趴倒"
    "TTT_AW_MAC1_TEXT"                "用MAC10衝鋒槍殺了 %d 名玩家，但別提他需要多少發子彈。"
    "TTT_AW_MAC2_TITLE"               "大麥克的起司"
    "TTT_AW_MAC2_TEXT"                "想知道他持有兩把衝鋒槍會發生什麼事？那大概是 %d 殺的兩倍囉？"
    "TTT_AW_SIP1_TITLE"               "黑人給我閉嘴！"
    "TTT_AW_SIP1_TEXT"                "用消聲手槍射殺了 %d 人。"
    "TTT_AW_SIP2_TITLE"               "艾吉歐•奧狄托利"
    "TTT_AW_SIP2_TEXT"                "殺死 %d 個人，但沒有任何人會聽到它們的死前呢喃。見識刺客大師的風骨吧！"
    "TTT_AW_KNF1_TITLE"               "刀子懂您"
    "TTT_AW_KNF1_TEXT"                "在網路上用刀子捅人。"
    "TTT_AW_KNF2_TITLE"               "您從哪弄來的啊？"
    "TTT_AW_KNF2_TEXT"                "不是叛徒，但仍然用刀子殺了一些人。"
    "TTT_AW_KNF3_TITLE"               "開膛手傑克"
    "TTT_AW_KNF3_TEXT"                "在地上撿到 %d 把匕首，並使用它們。"
    "TTT_AW_KNF4_TITLE"               "我是赤屍藏人"
    "TTT_AW_KNF4_TEXT"                "通過刀子殺死了 %d 個人。我只是個醫生。"
    "TTT_AW_FLG1_TITLE"               "玩火少年"
    "TTT_AW_FLG1_TEXT"                "用燃燒彈導致 %d 人死亡。"
    "TTT_AW_FLG2_TITLE"               "汽油加上番仔火"
    "TTT_AW_FLG2_TEXT"                "使 %d 名玩家葬身於火海。"
    "TTT_AW_HUG1_TITLE"               "子彈多喔！"
    "TTT_AW_HUG1_TEXT"                "用M249機槍將子彈送到 %d 名玩家身上。"
    "TTT_AW_HUG2_TITLE"               "耐心大叔"
    "TTT_AW_HUG2_TEXT"                "從未放下M249機槍的扳機，他殺戮了 %d 名玩家。"
    "TTT_AW_MSX1_TITLE"               "啪啪啪"
    "TTT_AW_MSX1_TEXT"                "用M16步槍射殺了 %d 名玩家。"
    "TTT_AW_MSX2_TITLE"               "中距離瘋子"
    "TTT_AW_MSX2_TEXT"                "了解如何用他手中的M16，射殺了敵人。共有 %d 名不幸的亡魂。"
    "TTT_AW_TKL1_TITLE"               "拍謝"
    "TTT_AW_TKL1_TEXT"                "瞄準自己的隊友，並不小心扣下扳機。"
    "TTT_AW_TKL2_TITLE"               "拍謝拍謝"
    "TTT_AW_TKL2_TEXT"                "認為自己抓到了兩次叛徒，但兩次都錯了！"
    "TTT_AW_TKL3_TITLE"               "小心業值！"
    "TTT_AW_TKL3_TEXT"                "殺死兩個同伴已不能滿足他，三個才是他的最終目標！"
    "TTT_AW_TKL4_TITLE"               "專業賣同隊！"
    "TTT_AW_TKL4_TEXT"                "殺了所有同伴，我的天啊！砰砰砰──"
    "TTT_AW_TKL5_TITLE"               "最佳主角"
    "TTT_AW_TKL5_TEXT"                "扮演的是瘋子，真的，因為他殺了大多數的同伴。"
    "TTT_AW_TKL6_TITLE"               "莫非閣下是...低能兒？"
    "TTT_AW_TKL6_TEXT"                "弄不清他屬於哪一隊，並殺死了半數以上的隊友。"
    "TTT_AW_TKL7_TITLE"               "園丁"
    "TTT_AW_TKL7_TEXT"                "好好保護著自己的草坪，並殺死了四分之一以上的隊友。"
    "TTT_AW_BRN1_TITLE"               "像小汝做菜一般"
    "TTT_AW_BRN1_TEXT"                "使用燃燒彈點燃數個玩家，將他們炸得很脆！"
    "TTT_AW_BRN2_TITLE"               "火化官"
    "TTT_AW_BRN2_TEXT"                "將每一具被他殺死的受害者屍體燃燒乾淨。"
    "TTT_AW_BRN3_TITLE"               "好想噴火！"
    "TTT_AW_BRN3_TEXT"                "「燒死您們！」，但地圖上已沒有燃燒彈了！因為都被他用完了。"
    "TTT_AW_FND1_TITLE"               "驗屍官"
    "TTT_AW_FND1_TEXT"                "在地上發現 %d 具屍體。"
    "TTT_AW_FND2_TITLE"               "想全部看到！"
    "TTT_AW_FND2_TEXT"                "在地上發現了 %d 具屍體，做為收藏。"
    "TTT_AW_FND3_TITLE"               "死亡的氣味"
    "TTT_AW_FND3_TEXT"                "在這回合被屍體絆到了 %d 次。"
    "TTT_AW_CRD1_TITLE"               "環保官"
    "TTT_AW_CRD1_TEXT"                "在同伴屍體上找到了 %d 點剩餘的購買點。"
    "TTT_AW_TOD1_TITLE"               "沒到手的勝利"
    "TTT_AW_TOD1_TEXT"                "在他的團隊即將獲得勝利的前幾秒死去。"
    "TTT_AW_TOD2_TITLE"               "人家不依啦！"
    "TTT_AW_TOD2_TEXT"                "在這回合剛開始不久即被殺害。"
    //
    // Chat
    // "TTT_TRAITOR_SAY"                             ""
    // "TTT_SAY"                                     ""
    // AFK and Idle
    // "TTT_IDLE_POPUP_TITLE"                        ""
    // "TTT_AFK_CHAT"                                ""
    // Entity Menu
    // "TTT_MENU_TITLE_ROOT"                         ""
    // "TTT_MENU_TITLE_ADD"                          ""
    // "TTT_MENU_TITLE_MAP_SETTINGS"                 ""
    // "TTT_MENU_TITLE_ITEM_SPAWNER"                 ""
    // "TTT_MENU_TITLE_STANDARD_WEAPONS"             ""
    // "TTT_MENU_TITLE_AMMO"                         ""
    // "TTT_MENU_TITLE_GRENADES"                     ""
    // "TTT_MENU_TITLE_DETECTIVE_ITEMS"              ""
    // "TTT_MENU_TITLE_TRAITOR_ITEMS"                ""
    // "TTT_MENU_ITEM_ADD_ENTITY"                    ""
    // "TTT_MENU_ITEM_MAP_SETTINGS"                  ""
    // "TTT_MENU_ITEM_DELETE_NEAREST"                ""
    // "TTT_MENU_ITEM_SAVE_ENTITIES"                 ""
    // "TTT_MENU_ITEM_RELOAD_ENTITIES"               ""
    // "TTT_MENU_ITEM_REMOVE_ALL"                    ""
    // "TTT_MENU_ITEM_REPLACE_SPAWNS"                ""
    // "TTT_MENU_ITEM_REPLACE_WEAPONS"               ""
    // "TTT_MENU_ITEM_SPAWNPOINT"                    ""
    // "TTT_MENU_ITEM_ITEM_SPAWNER"                  ""
    // "TTT_MENU_ITEM_RANDOM_WEAPON"                 ""
    // "TTT_MENU_ITEM_RANDOM_AMMO"                   ""
    // "TTT_MENU_ITEM_STANDARD_WEAPONS"              ""
    // "TTT_MENU_ITEM_AMMO"                          ""
    // "TTT_MENU_ITEM_GRENADES"                      ""
    // "TTT_MENU_ITEM_DETECTIVE_ITEMS"               ""
    // "TTT_MENU_ITEM_TRAITOR_ITEMS"                 ""
    // "TTT_MENU_ITEM_CHICKEN_SPAWN"                 ""
    // "TTT_MENU_GO_BACK"                            ""
    // "TTT_MENU_STATE_ON"                           ""
    // "TTT_MENU_STATE_OFF"                          ""
    // "TTT_MENU_NOTIFY_RELOADED"                    ""
    // "TTT_MENU_NOTIFY_SAVED"                       ""
    // "TTT_MENU_NOTIFY_ALL_REMOVED"                 ""
    // "TTT_MENU_NOTIFY_REMOVED_NEAREST"             ""
    // "TTT_MENU_NOTIFY_NO_ENTS_TO_REMOVE"           ""
    // "TTT_MENU_NOTIFY_NO_ENTS_TO_REMOVE_NEAR"      ""
    // "TTT_MENU_NOTIFY_NO_ENTS_NEAR"                ""
    // "TTT_MENU_ERROR_HOST_ONLY"                    ""
    // "TTT_MENU_ERROR_SAVE_FAILED"                  ""
    // "TTT_MENU_RECREATE_NEAREST"                   ""
    // AK47
    // "TTT_AK47_DESC"                               ""
    // Silenced AWP
    // "TTT_SILENCEDAWP_NAME"                        ""
    // "TTT_SILENCEDAWP_DESC"                        ""
    // Silenced M4A1
    // "TTT_SILENCED_M4A1"                           ""
    // "TTT_SILENCED_M4A1_DESC"                      ""
    // P90
    // "TTT_P90_DESC"                                ""
    // Revolver
    // "TTT_REVOLVER_DESC"                           ""
    // Silent Fox
    // "TTT_SILENTFOX_DESC"                          ""
    // Suicide Bomb
    // "TTT_SUICIDEBOMB_NAME"                        ""
    // "TTT_SUICIDEBOMB_DESC"                        ""
    // "TTT_SUICIDEBOMB_HELP_PRI"                    ""
    // Laser Sight
    // "TTT_LASERSIGHT_NAME"                         ""
    // "TTT_LASERSIGHT_DESC"                         ""
    // Chicken / Spectator Chicken
    // "TTT_CHICKEN_SPAWN"                           ""
    // "TTT_CHICKEN_RESPAWN"                         ""
    // "TTT_CHICKEN_BODY_NOT_FOUND"                  ""
    // "TTT_BLIND"                                   ""
    // Tutorials
    // "TTT_TUTORIAL_EQUIPMENT"                      ""
    // "TTT_TUTORIAL_TRAITOR_VOICE"                  ""
    // "TTT_TUTORIAL_DNA"                            ""
    // "TTT_TUTORIAL_RADIO"                          ""
    // "TTT_TUTORIAL_RADAR"                          ""
    // "TTT_TUTORIAL_DISGUISER"                      ""
    // Game UI
    // "TTT_GAME_UI_GAME_MENU_DISCORD"               ""
    // "TTT_GAME_UI_MAIN_MENU_HINT_CREATE_SERVER"    ""
    // "TTT_GAME_UI_HELP"                            ""
    // "TTT_SETTINGS"                                ""
    // "TTT_GAME_UI_MAIN_MENU_HINT_QUIT_GAME"        ""
    // "TTT_GAME_UI_MAIN_MENU_HINT_STATS"            ""
    // Key bindings
    // "TTT_DROP_WEAPON"                             ""
    // "TTT_DROP_AMMO"                               ""
    // "TTT_TEAM_MESSAGE"                            ""
    // "TTT_TRAITOR_VOICE_COMMUNICATION"             ""
    // "TTT_WALK"                                    ""
    // "TTT_EQUIPMENT"                               ""
    // "TTT_TOGGLE_DISGUISE"                         ""
    // "TTT_TUTORIAL"                                ""
    // "TTT_RADIO_COMMANDS"                          ""
    // "TTT_TOGGLE_LIVING_MUTE"                      ""
    // "TTT_PING"                                    ""
    // "TTT_EQUIP_SWITCH"                            ""
    // "TTT_UNARMED"                                 ""
    // Client settings
    // "TTT_LANGUAGE"                                ""
    // "TTT_LANGUAGE_STEAM"                          ""
    // "TTT_LANGUAGE_ENGLISH"                        ""
    // "TTT_LANGUAGE_BRAZILIAN"                      ""
    // "TTT_HUD_HISTORY_TIME"                        ""
    // "TTT_DNA_AUTO_SCAN"                           ""
    // "TTT_RADAR_AUTO"                                 ""
    // "TTT_RIGHT_HAND"                              ""
    // "TTT_GAME_EVENT_TIME"                         ""
    // "TTT_WEAPON_SWITCHER_SHOW_TIME"               ""
    // "TTT_MUTE_TEAM"                               ""
    // "TTT_MUTE_NOBODY"                             ""
    // "TTT_MUTE_LIVING"                                 ""
    // "TTT_MUTE_ALL"                                 ""
    // "TTT_MUTE_SPECTATORS"                         ""
    // "TTT_CUSTOM_CROSSHAIR_COLOR"                  ""
    // "TTT_CROSSHAIR_COLOR_RED"                     ""
    // "TTT_CROSSHAIR_COLOR_GREEN"                   ""
    // "TTT_CROSSHAIR_COLOR_BLUE"                    ""
    // "TTT_CROSSHAIR_OPACITY"                       ""
    // "TTT_CROSSHAIR_SIZE"                          ""
    // "TTT_CROSSHAIR_THICKNESS"                     ""
    // "TTT_DYNAMIC_CROSSHAIR"                       ""
    // "TTT_HUD_INSET_X_LABEL"                       ""
    // "TTT_HUD_INSET_Y_LABEL"                       ""
    // "TTT_ENABLE_PINGS"                            ""
    // "TTT_ENABLE_PING_SOUNDS"                      ""
    // "TTT_ANNOUNCE_ACHIEVEMENT"                    ""
    // "TTT_ANNOUNCE_ACHIEVEMENT_CLIENT"             ""
    // "TTT_ACHIEVEMENT_SOUND"                       ""
    // Achievements and Statistics
    // "TTT_ACHIEVEMENT_UNLOCKED"                    ""
    // "TTT_STATS_LOADING"                           ""
    // "TTT_STATS_TITLE"                             ""
    // "TTT_STATS_GLOBAL"                            ""
    // "TTT_STATS_VIEW_FRIEND"                       ""
    // "TTT_STATS_MY_STATS"                          ""
    // "TTT_STATS_CHOOSE_FRIEND_TITLE"               ""
    // "TTT_STATS_CONFIRM"                           ""
    // "TTT_STATS_CANCEL"                            ""
    // "TTT_STATS_AVG_KARMA"                         ""
    // "TTT_STATS_ROUNDS_PLAYED"                     ""
    // "TTT_STATS_WIN_RATIO"                         ""
    // "TTT_STATS_TK_RATIO"                          ""
    // "TTT_STATS_ACHIEVEMENTS_EARNED"               ""
    // "TTT_STATS_TAB_SUMMARY"                       ""
    // "TTT_STATS_TAB_ACHIEVEMENTS"                  ""
    // "TTT_STATS_TAB_LIFETIME"                      ""
    // "TTT_STATS_SUMMARY"                           ""
    // "TTT_STATS_SUMMARY_ROUNDS_PLAYED"             ""
    // "TTT_STATS_ROUNDS_WON"                        ""
    // "TTT_STATS_ROUNDS_SURVIVED"                   ""
    // "TTT_STATS_SURVIVAL_RATE"                     ""
    // "TTT_STATS_CLEAN_ROUNDS"                      ""
    // "TTT_STATS_FAVORITE_WEAPON"                   ""
    // "TTT_STATS_WEAPON_SHOTS_FIRED"                ""
    // "TTT_STATS_WEAPON_SHOTS_HIT"                  ""
    // "TTT_STATS_WEAPON_ACCURACY"                   ""
    // "TTT_STATS_WEAPON_KILLS"                      ""
    // "TTT_STATS_WEAPON_DAMAGE_DEALT"               ""
    // "TTT_STATS_WIN_RATE"                          ""
    // "TTT_STATS_RECENT_ACHIEVEMENTS"               ""
    // "TTT_CATEGORY_ALL"                            ""
    // "TTT_CATEGORY_COMBAT"                         ""
    // "TTT_CATEGORY_ROLE"                           ""
    // "TTT_CATEGORY_GENERAL"                        ""
    // "TTT_CATEGORY_MAPS"                           ""
    // "TTT_STATS_ALL_STATS"                         ""
